# Análise da banda B09 [0.8-0.9)
# n_VINs = 8,460  |  churn_real = 49.09%  |  score_medio = 0.8636

# === Composição por MODELO de carro ===
modelo,n,pct_da_banda,churn_real_pct
RANGER,3629,42.9,21.88
KA,2062,24.37,100.0
TERRITORY,901,10.65,24.42
ECOSPORT,772,9.13,100.0
MAVERICK,402,4.75,16.67
BRONCO SPORT,234,2.77,31.2
TRANSIT,214,2.53,50.47
F-150,188,2.22,4.26
MUSTANG,51,0.6,82.35
EDGE,2,0.02,100.0
KHC,2,0.02,100.0
FOCUS,1,0.01,100.0
FIESTA,1,0.01,100.0
CARGO,1,0.01,100.0

# === Composição por CLUSTER K-means ===
cluster,n,pct_da_banda,churn_real_pct
fiel,4220,49.88,43.72
esquecido,1925,22.75,68.68
economico,1442,17.04,7.84
abandono,873,10.32,100.0

# === Médias de features ===
feature,valor
n_servicos_medio,2.68
tenure_medio_dias,629.4
dias_sem_servico_medio,599.3
km_medio,33493.0
dealer_share_medio,0.907
single_event_pct,27.41
