# Análise da banda B06 [0.5-0.6)
# n_VINs = 5,948  |  churn_real = 19.69%  |  score_medio = 0.5385

# === Composição por MODELO de carro ===
modelo,n,pct_da_banda,churn_real_pct
RANGER,4301,72.31,9.51
KA,373,6.27,100.0
MAVERICK,349,5.87,12.32
TERRITORY,321,5.4,24.61
BRONCO SPORT,188,3.16,19.15
TRANSIT,184,3.09,31.52
ECOSPORT,155,2.61,100.0
F-150,58,0.98,8.62
MUSTANG,16,0.27,68.75
FOCUS,1,0.02,100.0
FUSION/MONDEO,1,0.02,100.0
MUSTANG MACH-E,1,0.02,0.0

# === Composição por CLUSTER K-means ===
cluster,n,pct_da_banda,churn_real_pct
economico,3702,62.24,6.05
fiel,1473,24.76,31.57
esquecido,629,10.57,53.74
abandono,144,2.42,100.0

# === Médias de features ===
feature,valor
n_servicos_medio,1.84
tenure_medio_dias,456.2
dias_sem_servico_medio,289.2
km_medio,25864.0
dealer_share_medio,0.957
single_event_pct,64.66
