# Análise da banda B10 [0.9-1.0)
# n_VINs = 70,475  |  churn_real = 81.18%  |  score_medio = 0.9918

# === Composição por MODELO de carro ===
modelo,n,pct_da_banda,churn_real_pct
KA,39104,55.49,100.0
RANGER,14329,20.33,29.68
ECOSPORT,11278,16.0,100.0
TERRITORY,2837,4.03,33.84
TRANSIT,1404,1.99,59.9
MAVERICK,591,0.84,27.75
BRONCO SPORT,374,0.53,55.35
F-150,157,0.22,5.1
CARGO,123,0.17,100.0
MUSTANG,109,0.15,99.08
KHC,73,0.1,100.0
EDGE,26,0.04,100.0
KFA,23,0.03,100.0
F-SERIES,16,0.02,100.0
BDA,14,0.02,100.0

# === Composição por CLUSTER K-means ===
cluster,n,pct_da_banda,churn_real_pct
fiel,29958,42.51,78.74
esquecido,17162,24.35,95.57
abandono,16570,23.51,100.0
economico,6785,9.63,9.62

# === Médias de features ===
feature,valor
n_servicos_medio,2.16
tenure_medio_dias,596.3
dias_sem_servico_medio,1189.5
km_medio,22806.0
dealer_share_medio,0.896
single_event_pct,33.14
