# Análise da banda B01 [0.0-0.1)
# n_VINs = 41,616  |  churn_real = 16.53%  |  score_medio = 0.0168

# === Composição por MODELO de carro ===
modelo,n,pct_da_banda,churn_real_pct
RANGER,25661,61.66,13.77
KA,3942,9.47,33.31
BRONCO SPORT,2775,6.67,12.58
TERRITORY,2617,6.29,16.16
ECOSPORT,1941,4.66,28.85
MAVERICK,1901,4.57,8.31
TRANSIT,1302,3.13,29.72
MUSTANG,846,2.03,15.72
F-150,499,1.2,1.8
MUSTANG MACH-E,69,0.17,4.35
EDGE,49,0.12,12.24
FUSION/MONDEO,4,0.01,25.0
FOCUS,4,0.01,25.0
KHC,3,0.01,33.33
FIESTA,2,0.0,50.0

# === Composição por CLUSTER K-means ===
cluster,n,pct_da_banda,churn_real_pct
fiel,21464,51.58,14.23
esquecido,13200,31.72,17.49
economico,6630,15.93,18.07
abandono,322,0.77,98.76

# === Médias de features ===
feature,valor
n_servicos_medio,5.82
tenure_medio_dias,1192.5
dias_sem_servico_medio,209.2
km_medio,57628.0
dealer_share_medio,0.87
single_event_pct,16.74
